team1,team2,venue,toss_winner,toss_decision,winner,date,team1_matches_played,team1_win_rate,team1_form_5,team2_matches_played,team2_win_rate,team2_form_5,team1_h2h_wins,team2_h2h_wins,team1_venue_matches,team1_venue_win_rate,team2_venue_matches,team2_venue_win_rate,team1_won_toss,team2_won_toss
Australia,India,"Beausejour Stadium, Gros Islet",India,1,Australia,2010-05-13,34,0.6176470588235294,5,23,0.4782608695652174,2,2,2,2,1.0,2,0.5,0,1
Australia,Pakistan,"Beausejour Stadium, Gros Islet",Australia,0,Australia,2010-05-14,35,0.6285714285714286,5,31,0.7096774193548387,2,2,2,3,1.0,3,0.6666666666666666,1,0
West Indies,New Zealand,"Beausejour Stadium, Gros Islet",West Indies,0,New Zealand,2010-05-14,25,0.48,3,36,0.4722222222222222,3,0,1,1,0.0,1,0.0,1,0
Australia,England,"Kensington Oval, Bridgetown",England,0,England,2010-05-16,36,0.6388888888888888,5,31,0.4838709677419355,4,3,2,4,0.75,2,1.0,0,1
Australia,New Zealand,"Kensington Oval, Bridgetown",Australia,1,Australia,2010-05-16,37,0.6216216216216216,4,37,0.4864864864864865,3,4,0,5,0.6,2,0.5,1,0
West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",West Indies,0,South Africa,2010-05-19,26,0.46153846153846156,2,30,0.5666666666666667,2,2,3,0,0.0,0,0.0,1,0
West Indies,South Africa,"Sir Vivian Richards Stadium, North Sound",West Indies,0,South Africa,2010-05-20,27,0.4444444444444444,1,31,0.5806451612903226,2,2,4,1,0.0,1,1.0,1,0
New Zealand,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,New Zealand,1,New Zealand,2010-05-22,38,0.47368421052631576,2,29,0.5517241379310345,3,4,3,0,0.0,0,0.0,1,0
New Zealand,Sri Lanka,Central Broward Regional Park Stadium Turf Ground,New Zealand,1,Sri Lanka,2010-05-23,39,0.48717948717948717,3,30,0.5333333333333333,2,5,3,1,1.0,1,0.0,1,0
Zimbabwe,India,Harare Sports Club,India,0,India,2010-06-12,5,0.4,2,24,0.4583333333333333,1,0,0,0,0.0,0,0.0,0,1
Zimbabwe,India,Harare Sports Club,India,0,India,2010-06-13,6,0.3333333333333333,1,25,0.48,1,0,1,1,0.0,1,1.0,0,1
Australia,Pakistan,Edgbaston,Pakistan,1,Pakistan,2010-07-05,38,0.631578947368421,4,32,0.6875,1,3,2,0,0.0,0,0.0,0,1
